,threshold,train_dataset_accuracy,test_dataset_accuracy
0,3.712905901671169e-05,0.4554 (92/202),0.4074 (22/54)
0,3.740370153984301e-05,0.4554 (92/202),0.4074 (22/54)
0,3.768037558538588e-05,0.4554 (92/202),0.4074 (22/54)
0,3.795909618044993e-05,0.4554 (92/202),0.4074 (22/54)
0,3.823987846329982e-05,0.4554 (92/202),0.4074 (22/54)
0,3.85227376841777e-05,0.4554 (92/202),0.4074 (22/54)
0,3.880768920613107e-05,0.4554 (92/202),0.4074 (22/54)
0,3.909474850584753e-05,0.4554 (92/202),0.4074 (22/54)
0,3.9383931174495224e-05,0.4554 (92/202),0.4074 (22/54)
0,3.967525291856965e-05,0.4554 (92/202),0.4074 (22/54)
0,3.996872956074701e-05,0.4554 (92/202),0.4074 (22/54)
0,4.02643770407431e-05,0.4554 (92/202),0.4074 (22/54)
0,4.056221141617942e-05,0.4554 (92/202),0.4074 (22/54)
0,4.0862248863455196e-05,0.4554 (92/202),0.4074 (22/54)
0,4.116450567862589e-05,0.4554 (92/202),0.4074 (22/54)
0,4.1468998278288684e-05,0.4554 (92/202),0.4074 (22/54)
0,4.177574320047353e-05,0.4554 (92/202),0.4074 (22/54)
0,4.20847571055418e-05,0.4554 (92/202),0.4074 (22/54)
0,4.2396056777090955e-05,0.4554 (92/202),0.4074 (22/54)
0,4.270965912286649e-05,0.4554 (92/202),0.4074 (22/54)
0,4.3025581175679714e-05,0.4554 (92/202),0.4074 (22/54)
0,4.3343840094333205e-05,0.4554 (92/202),0.4074 (22/54)
0,4.366445316455269e-05,0.4554 (92/202),0.4074 (22/54)
0,4.3987437799925785e-05,0.4554 (92/202),0.4074 (22/54)
0,4.431281154284818e-05,0.4554 (92/202),0.4074 (22/54)
0,4.464059206547583e-05,0.4554 (92/202),0.4074 (22/54)
0,4.497079717068521e-05,0.4554 (92/202),0.4074 (22/54)
0,4.5303444793040015e-05,0.4554 (92/202),0.4074 (22/54)
0,4.563855299976567e-05,0.4554 (92/202),0.4074 (22/54)
0,4.5976139991730015e-05,0.4554 (92/202),0.4074 (22/54)
0,4.631622410443226e-05,0.4554 (92/202),0.4074 (22/54)
0,4.6658823808998746e-05,0.4554 (92/202),0.4074 (22/54)
0,4.700395771318608e-05,0.4554 (92/202),0.4074 (22/54)
0,4.735164456239218e-05,0.4554 (92/202),0.4074 (22/54)
0,4.770190324067377e-05,0.4554 (92/202),0.4074 (22/54)
0,4.805475277177253e-05,0.4554 (92/202),0.4074 (22/54)
0,4.841021232014814e-05,0.4554 (92/202),0.4074 (22/54)
